origin_city,destination_city,distance_km,vehicle_type,order_date,order_hour,weekday,weather,temperature,traffic_level,delivery_time_hours
tashkent,samarkand,292.9,truck,2025-11-08,1,saturday,clouds,4.7,low,5.57
tashkent,samarkand,292.9,pickup,2025-11-17,21,monday,mist,7.0,low,4.06
tashkent,samarkand,292.9,truck,2025-12-17,11,wednesday,mist,7.0,low,4.91
tashkent,samarkand,292.9,van,2025-11-21,23,friday,clouds,7.0,low,4.57
tashkent,samarkand,292.9,van,2025-12-27,11,saturday,clouds,7.0,low,4.68
tashkent,samarkand,292.9,truck,2025-12-24,7,wednesday,mist,7.0,medium,6.5
tashkent,samarkand,292.9,motorcycle,2026-01-05,10,monday,mist,4.7,low,4.34
tashkent,samarkand,292.9,motorcycle,2025-11-26,3,wednesday,mist,7.0,low,4.4
tashkent,samarkand,292.9,pickup,2025-12-09,16,tuesday,clouds,4.7,low,4.24
tashkent,samarkand,292.9,van,2025-12-20,12,saturday,clouds,7.0,low,4.58
tashkent,samarkand,292.9,car,2025-12-11,6,thursday,mist,7.0,low,3.54
tashkent,samarkand,292.9,pickup,2025-12-07,4,sunday,clouds,7.0,low,4.22
tashkent,samarkand,292.9,car,2025-12-08,4,monday,mist,4.7,low,3.62
tashkent,samarkand,292.9,van,2026-01-01,1,thursday,mist,4.7,low,4.1
tashkent,samarkand,292.9,pickup,2025-11-27,20,thursday,clouds,4.7,low,4.3
tashkent,samarkand,292.9,pickup,2025-11-22,21,saturday,clouds,7.0,low,4.47
tashkent,samarkand,292.9,van,2026-01-03,21,saturday,mist,4.7,low,4.26
tashkent,samarkand,292.9,truck,2025-12-04,4,thursday,mist,7.0,low,4.84
tashkent,samarkand,292.9,car,2025-12-24,6,wednesday,mist,4.7,low,3.68
tashkent,samarkand,292.9,truck,2025-12-02,6,tuesday,mist,7.0,low,5.02
tashkent,samarkand,292.9,pickup,2025-12-29,21,monday,mist,7.0,low,4.09
tashkent,samarkand,292.9,pickup,2025-12-24,14,wednesday,mist,7.0,low,4.01
tashkent,samarkand,292.9,truck,2025-12-21,7,sunday,mist,7.0,medium,6.15
tashkent,samarkand,292.9,pickup,2025-12-04,23,thursday,mist,4.7,low,4.1
tashkent,samarkand,292.9,motorcycle,2025-11-25,18,tuesday,mist,7.0,medium,5.73
tashkent,samarkand,292.9,pickup,2026-01-05,9,monday,mist,7.0,medium,5.04
tashkent,samarkand,292.9,pickup,2025-12-26,5,friday,mist,7.0,low,3.97
tashkent,samarkand,292.9,car,2025-12-18,7,thursday,mist,4.7,medium,4.55
tashkent,samarkand,292.9,car,2025-12-16,18,tuesday,clouds,4.7,medium,5.16
tashkent,samarkand,292.9,car,2025-12-21,18,sunday,mist,4.7,medium,4.54
tashkent,samarkand,292.9,car,2025-11-08,14,saturday,mist,4.7,low,3.57
tashkent,samarkand,292.9,motorcycle,2025-12-31,1,wednesday,clouds,4.7,low,5.05
tashkent,samarkand,292.9,van,2025-12-21,19,sunday,mist,4.7,medium,5.43
tashkent,samarkand,292.9,truck,2025-12-18,20,thursday,mist,4.7,low,4.71
tashkent,samarkand,292.9,car,2025-11-27,22,thursday,mist,4.7,low,3.82
tashkent,samarkand,292.9,van,2025-11-22,18,saturday,clouds,7.0,medium,5.95
tashkent,samarkand,292.9,van,2025-12-01,7,monday,mist,7.0,medium,5.43
tashkent,samarkand,292.9,car,2025-11-11,20,tuesday,mist,4.7,low,3.64
tashkent,samarkand,292.9,van,2026-01-01,22,thursday,mist,4.7,low,4.37
tashkent,samarkand,292.9,van,2025-11-08,13,saturday,mist,7.0,low,4.38
tashkent,samarkand,292.9,truck,2025-11-09,16,sunday,mist,4.7,low,5.02
tashkent,samarkand,292.9,motorcycle,2025-12-25,22,thursday,mist,7.0,low,4.28
tashkent,samarkand,292.9,truck,2025-11-24,10,monday,mist,4.7,low,5.07
tashkent,samarkand,292.9,pickup,2025-12-17,15,wednesday,clouds,4.7,low,4.18
tashkent,samarkand,292.9,van,2025-11-13,0,thursday,mist,4.7,low,4.04
tashkent,samarkand,292.9,pickup,2026-01-01,3,thursday,mist,4.7,low,3.92
tashkent,samarkand,292.9,car,2025-12-22,16,monday,mist,7.0,low,3.7
tashkent,samarkand,292.9,car,2026-01-04,19,sunday,mist,4.7,medium,4.62
tashkent,samarkand,292.9,motorcycle,2025-12-21,18,sunday,mist,4.7,medium,6.11
tashkent,samarkand,292.9,pickup,2026-01-01,0,thursday,clouds,7.0,low,4.27
tashkent,samarkand,292.9,pickup,2025-11-30,5,sunday,mist,7.0,low,3.9
tashkent,samarkand,292.9,car,2025-11-30,19,sunday,clouds,4.7,medium,5.06
tashkent,samarkand,292.9,pickup,2025-12-06,14,saturday,clouds,7.0,low,4.22
tashkent,samarkand,292.9,truck,2026-01-01,11,thursday,clouds,4.7,low,5.17
tashkent,samarkand,292.9,van,2025-11-27,15,thursday,mist,7.0,low,4.35
tashkent,samarkand,292.9,van,2026-01-02,22,friday,mist,7.0,low,4.04
tashkent,samarkand,292.9,truck,2025-11-07,17,friday,mist,4.7,medium,6.55
tashkent,samarkand,292.9,truck,2025-12-16,16,tuesday,clouds,7.0,low,5.63
tashkent,samarkand,292.9,truck,2025-12-06,0,saturday,mist,4.7,low,5.1
tashkent,samarkand,292.9,motorcycle,2025-11-09,4,sunday,clouds,4.7,low,4.78
tashkent,samarkand,292.9,car,2025-11-13,10,thursday,clouds,4.7,low,3.85
tashkent,samarkand,292.9,motorcycle,2025-11-18,23,tuesday,clouds,4.7,low,4.94
tashkent,samarkand,292.9,truck,2025-12-26,0,friday,mist,4.7,low,5.06
