expected_time_no_traffic,vehicle_distance_mismatch,vehicle_traffic_stress,distance_km,route_avg_distance,vehicle_time_efficiency,traffic_weather_risk,is_peak_hour,destination_city,operational_stress_index,route_id,route_frequency,delivery_time_hours,order_date,route_traffic_volatility,is_heavy_traffic_truck,traffic_level_low,traffic_level_medium,vehicle_type_car,vehicle_type_motorcycle,vehicle_type_pickup,vehicle_type_truck,vehicle_type_van,weather_clear,weather_clouds,weather_haze,weather_mist
13.338333333333331,0.3752342871423216,2.0,800.3,800.3,1.0,2.0,False,andijan,0.2840351430713482,bukhara_andijan,1554,12.71,2025-11-06,1.414370293649205,0,1,0,0,0,0,1,0,False,False,False,True
3.076923076923077,0.3333333333333333,1.8,200.0,200.0,0.8,0.0,False,termez,0.2709999999999999,khiva_termez,1554,2.78,2025-11-06,0.30151833445891346,0,1,0,0,0,0,0,1,True,False,False,False
3.076923076923077,0.3333333333333333,1.8,200.0,200.0,0.99,2.0,False,termez,0.310125,khiva_termez,1554,2.93,2025-11-06,0.30151833445891346,0,1,0,0,0,0,0,1,False,False,False,True
8.676,1.0,1.0,650.7,650.7,0.63,1.0,False,urgench,0.488,samarkand_urgench,1555,11.19,2025-11-06,1.085199938590479,0,1,0,0,1,0,0,0,False,True,False,False
13.31875,1.0,1.2,1065.5,1065.5,0.9,2.0,False,nukus,0.31525,tashkent_nukus,1554,12.67,2025-11-06,1.6515124965524592,0,1,0,1,0,0,0,0,False,False,False,True
6.989999999999999,0.1612,2.0,419.4,419.4,1.0,1.0,False,urgench,0.23438,bukhara_urgench,1553,7.45,2025-11-06,0.7034348215264424,0,1,0,0,0,0,1,0,False,True,False,False
3.333333333333333,0.6,2.0,200.0,200.0,1.0,0.0,False,namangan,0.269,khiva_namangan,1554,3.21,2025-11-06,0.302019591012165,0,1,0,0,0,0,1,0,True,False,False,False
8.676,1.0,1.0,650.7,650.7,0.81,1.0,False,urgench,0.4024999999999999,samarkand_urgench,1555,10.86,2025-11-06,1.085199938590479,0,1,0,0,1,0,0,0,False,True,False,False
1.206153846153846,0.7386666666666667,5.0,78.4,78.4,0.21,4.0,True,namangan,0.7258,fergana_namangan,1552,1.48,2025-11-06,0.16001505780064487,0,0,1,0,0,0,0,1,False,False,False,True
17.758333333333333,0.5307367433129986,5.0,1065.5,1065.5,0.1399999999999999,4.0,True,nukus,0.7256105114969497,tashkent_nukus,1554,22.38,2025-11-06,2.009015049262232,1,0,1,0,0,0,1,0,False,False,False,True
1.12,0.7386666666666667,3.0,78.4,78.4,0.81,2.0,False,namangan,0.4133,fergana_namangan,1552,1.31,2025-11-06,0.16001505780064487,0,0,1,0,0,1,0,0,False,False,True,False
8.133750000000001,1.0,1.2,650.7,650.7,0.9,1.0,False,urgench,0.3399999999999999,samarkand_urgench,1555,8.83,2025-11-06,1.085199938590479,0,1,0,1,0,0,0,0,False,True,False,False
1.0453333333333334,0.3622448979591837,1.0,78.4,78.4,0.63,2.0,False,namangan,0.3387117346938775,fergana_namangan,1552,1.19,2025-11-06,0.12273081083060884,0,1,0,0,1,0,0,0,False,False,False,True
4.184285714285714,0.0236666666666667,1.5,292.9,292.9,0.765,2.0,False,samarkand,0.298925,tashkent_samarkand,1555,3.93,2025-11-06,0.5045728230755525,0,1,0,0,0,1,0,0,False,False,False,True
8.676,1.0,1.0,650.7,650.7,0.9,1.0,False,urgench,0.3575,samarkand_urgench,1555,10.97,2025-11-06,1.085199938590479,0,1,0,0,1,0,0,0,False,True,False,False
9.295714285714286,0.5389580451821117,2.25,650.7,650.7,0.4,1.0,True,urgench,0.4693437067773167,samarkand_urgench,1555,9.97,2025-11-06,1.085199938590479,0,1,0,0,0,1,0,0,False,True,False,False
5.2425,0.784692417739628,1.7999999999999998,419.4,419.4,0.5,1.0,True,urgench,0.4497038626609441,bukhara_urgench,1553,5.64,2025-11-06,0.7034348215264424,0,1,0,1,0,0,0,0,False,True,False,False
5.592,1.0,1.0,419.4,419.4,0.9,1.0,False,urgench,0.38,bukhara_urgench,1553,7.37,2025-11-06,0.7034348215264424,0,1,0,0,1,0,0,0,False,True,False,False
0.8712500000000001,0.6515000000000001,1.2,69.7,69.7,0.7200000000000001,2.0,False,namangan,0.3248499999999999,andijan_namangan,1546,0.87,2025-11-06,0.10636681272600237,0,1,0,1,0,0,0,0,False,False,False,True
2.857142857142857,0.3333333333333333,1.5,200.0,200.0,0.9,0.0,False,namangan,0.2249999999999999,khiva_namangan,1554,2.7,2025-11-06,0.302019591012165,0,1,0,0,0,1,0,0,True,False,False,False
2.7,0.676,2.0,162.0,162.0,0.7,2.0,False,urgench,0.3974,nukus_urgench,1554,2.77,2025-11-06,0.2853590794861476,0,1,0,0,0,0,1,0,False,False,False,True
2.6666666666666665,0.75,3.0,200.0,200.0,0.51,4.0,True,termez,0.585625,khiva_termez,1554,4.18,2025-11-06,0.38566057868335385,0,0,1,0,1,0,0,0,False,False,False,True
12.297142857142855,0.6514869888475836,1.5,860.8,860.8,0.765,1.0,False,termez,0.3878330483271375,urgench_termez,1555,12.94,2025-11-06,1.5231268080650018,0,1,0,0,0,1,0,0,False,True,False,False
