expected_time_no_traffic,vehicle_distance_mismatch,vehicle_traffic_stress,distance_km,vehicle_time_efficiency,traffic_weather_risk,is_peak_hour,destination_city,operational_stress_index,route_id,route_frequency,delivery_time_hours,order_date,is_heavy_traffic_truck,traffic_level_medium,vehicle_type_car,vehicle_type_motorcycle,vehicle_type_pickup,vehicle_type_truck,vehicle_type_van,weather_clear,weather_clouds,weather_haze,weather_mist,route_traffic_volatility,destination_city_encoded,route_id_encoded
13.338333333333331,0.3752342871423216,2.0,800.3,1.0,2.0,0,andijan,0.2840351430713482,bukhara_andijan,1554,12.71,2025-11-06,0,0,0,0,0,1,0,0,0,0,1,1.4143702936492064,0,4
6.989999999999999,0.1612,2.0,419.4,0.7,1.0,0,urgench,0.30398,bukhara_urgench,1553,7.88,2025-11-06,0,0,0,0,0,1,0,0,1,0,0,0.7034348215264423,8,10
4.184285714285714,0.0236666666666667,1.5,292.9,0.765,2.0,0,samarkand,0.298925,tashkent_samarkand,1555,3.93,2025-11-06,0,0,0,0,1,0,0,0,0,0,1,0.5045728230755522,6,41
1.0453333333333334,0.3622448979591837,1.0,78.4,0.63,2.0,0,namangan,0.3387117346938775,fergana_namangan,1552,1.19,2025-11-06,0,0,0,1,0,0,0,0,0,0,1,0.1227308108306087,4,11
8.133750000000001,1.0,1.2,650.7,0.9,1.0,0,urgench,0.3399999999999999,samarkand_urgench,1555,8.83,2025-11-06,0,0,1,0,0,0,0,0,1,0,0,1.0851999385904798,8,34
1.12,0.7386666666666667,3.0,78.4,0.81,2.0,0,namangan,0.4133,fergana_namangan,1552,1.31,2025-11-06,0,1,0,0,1,0,0,0,0,1,0,0.1600150578006449,4,11
17.758333333333333,0.5307367433129986,5.0,1065.5,0.1399999999999999,4.0,1,nukus,0.7256105114969497,tashkent_nukus,1554,22.38,2025-11-06,1,1,0,0,0,1,0,0,0,0,1,2.0090150492622314,5,40
1.206153846153846,0.7386666666666667,5.0,78.4,0.21,4.0,1,namangan,0.7258,fergana_namangan,1552,1.48,2025-11-06,0,1,0,0,0,0,1,0,0,0,1,0.1600150578006449,4,11
8.676,1.0,1.0,650.7,0.9,1.0,0,urgench,0.3575,samarkand_urgench,1555,10.97,2025-11-06,0,0,0,1,0,0,0,0,1,0,0,1.0851999385904798,8,34
8.676,1.0,1.0,650.7,0.81,1.0,0,urgench,0.4024999999999999,samarkand_urgench,1555,10.86,2025-11-06,0,0,0,1,0,0,0,0,1,0,0,1.0851999385904798,8,34
6.989999999999999,0.1612,2.0,419.4,1.0,1.0,0,urgench,0.23438,bukhara_urgench,1553,7.45,2025-11-06,0,0,0,0,0,1,0,0,1,0,0,0.7034348215264423,8,10
13.31875,1.0,1.2,1065.5,0.9,2.0,0,nukus,0.31525,tashkent_nukus,1554,12.67,2025-11-06,0,0,1,0,0,0,0,0,0,0,1,1.6515124965524606,5,40
8.676,1.0,1.0,650.7,0.63,1.0,0,urgench,0.488,samarkand_urgench,1555,11.19,2025-11-06,0,0,0,1,0,0,0,0,1,0,0,1.0851999385904798,8,34
3.076923076923077,0.3333333333333333,1.8,200.0,0.99,2.0,0,termez,0.310125,khiva_termez,1554,2.93,2025-11-06,0,0,0,0,0,0,1,0,0,0,1,0.3015183344589135,7,18
3.076923076923077,0.3333333333333333,1.8,200.0,0.8,0.0,0,termez,0.2709999999999999,khiva_termez,1554,2.78,2025-11-06,0,0,0,0,0,0,1,1,0,0,0,0.3015183344589135,7,18
3.333333333333333,0.6,2.0,200.0,1.0,1.0,0,urgench,0.3142399999999999,khiva_urgench,1554,3.68,2025-11-06,0,0,0,0,0,1,0,0,1,0,0,0.357263066972239,8,19
