order_id,origin_city,destination_city,distance_km,vehicle_type,order_date,order_hour,weekday,weather,temperature,traffic_level,delivery_time_hours
ORD-20260105133858-9510,Tashkent,Samarkand,292.9,Truck,2025-11-08,1,Saturday,Clouds,4.7,Low,5.57
ORD-20260105133858-5857,Tashkent,Samarkand,292.9,Pickup,2025-11-17,21,Monday,Mist,7.0,Low,4.06
ORD-20260105133858-6218,Tashkent,Samarkand,292.9,Truck,2025-12-17,11,Wednesday,Mist,7.0,Low,4.91
ORD-20260105133858-1830,Tashkent,Samarkand,292.9,Van,2025-11-21,23,Friday,Clouds,7.0,Low,4.57
ORD-20260105133858-1896,Tashkent,Samarkand,292.9,Van,2025-12-27,11,Saturday,Clouds,7.0,Low,4.68
ORD-20260105133858-1672,Tashkent,Samarkand,292.9,Truck,2025-12-24,7,Wednesday,Mist,7.0,Medium,6.5
ORD-20260105133858-8271,Tashkent,Samarkand,292.9,Motorcycle,2026-01-05,10,Monday,Mist,4.7,Low,4.34
ORD-20260105133858-5742,Tashkent,Samarkand,292.9,Motorcycle,2025-11-26,3,Wednesday,Mist,7.0,Low,4.4
ORD-20260105133858-4394,Tashkent,Samarkand,292.9,Pickup,2025-12-09,16,Tuesday,Clouds,4.7,Low,4.24
ORD-20260105133858-7954,Tashkent,Samarkand,292.9,Van,2025-12-20,12,Saturday,Clouds,7.0,Low,4.58
ORD-20260105133858-1638,Tashkent,Samarkand,292.9,Car,2025-12-11,6,Thursday,Mist,7.0,Low,3.54
ORD-20260105133858-6626,Tashkent,Samarkand,292.9,Pickup,2025-12-07,4,Sunday,Clouds,7.0,Low,4.22
ORD-20260105133858-5294,Tashkent,Samarkand,292.9,Car,2025-12-08,4,Monday,Mist,4.7,Low,3.62
ORD-20260105133858-2880,Tashkent,Samarkand,292.9,Van,2026-01-01,1,Thursday,Mist,4.7,Low,4.1
ORD-20260105133858-9677,Tashkent,Samarkand,292.9,Pickup,2025-11-27,20,Thursday,Clouds,4.7,Low,4.3
ORD-20260105133858-5339,Tashkent,Samarkand,292.9,Pickup,2025-11-22,21,Saturday,Clouds,7.0,Low,4.47
ORD-20260105133858-9766,Tashkent,Samarkand,292.9,Van,2026-01-03,21,Saturday,Mist,4.7,Low,4.26
ORD-20260105133858-7573,Tashkent,Samarkand,292.9,Truck,2025-12-04,4,Thursday,Mist,7.0,Low,4.84
ORD-20260105133858-8769,Tashkent,Samarkand,292.9,Car,2025-12-24,6,Wednesday,Mist,4.7,Low,3.68
ORD-20260105133858-1033,Tashkent,Samarkand,292.9,Truck,2025-12-02,6,Tuesday,Mist,7.0,Low,5.02
ORD-20260105133858-2827,Tashkent,Samarkand,292.9,Pickup,2025-12-29,21,Monday,Mist,7.0,Low,4.09
ORD-20260105133858-4866,Tashkent,Samarkand,292.9,Pickup,2025-12-24,14,Wednesday,Mist,7.0,Low,4.01
ORD-20260105133858-3677,Tashkent,Samarkand,292.9,Truck,2025-12-21,7,Sunday,Mist,7.0,Medium,6.15
ORD-20260105133858-7276,Tashkent,Samarkand,292.9,Pickup,2025-12-04,23,Thursday,Mist,4.7,Low,4.1
ORD-20260105133858-6442,Tashkent,Samarkand,292.9,Motorcycle,2025-11-25,18,Tuesday,Mist,7.0,Medium,5.73
ORD-20260105133858-4808,Tashkent,Samarkand,292.9,Pickup,2026-01-05,9,Monday,Mist,7.0,Medium,5.04
ORD-20260105133858-5835,Tashkent,Samarkand,292.9,Pickup,2025-12-26,5,Friday,Mist,7.0,Low,3.97
ORD-20260105133858-5612,Tashkent,Samarkand,292.9,Car,2025-12-18,7,Thursday,Mist,4.7,Medium,4.55
ORD-20260105133858-7046,Tashkent,Samarkand,292.9,Car,2025-12-16,18,Tuesday,Clouds,4.7,Medium,5.16
ORD-20260105133858-5692,Tashkent,Samarkand,292.9,Car,2025-12-21,18,Sunday,Mist,4.7,Medium,4.54
ORD-20260105133858-3269,Tashkent,Samarkand,292.9,Car,2025-11-08,14,Saturday,Mist,4.7,Low,3.57
ORD-20260105133858-7202,Tashkent,Samarkand,292.9,Motorcycle,2025-12-31,1,Wednesday,Clouds,4.7,Low,5.05
