origin_city,destination_city,distance_km,vehicle_type,order_date,order_hour,weekday,weather,temperature,traffic_level,delivery_time_hours,day_of_month,week_of_year,month,is_weekend,is_peak_hour,is_night
tashkent,samarkand,292.9,truck,2025-11-08,1,saturday,clouds,4.7,low,5.57,8,45,11,1,0,1
tashkent,samarkand,292.9,pickup,2025-11-17,21,monday,mist,7.0,low,4.06,17,47,11,0,0,0
tashkent,samarkand,292.9,truck,2025-12-17,11,wednesday,mist,7.0,low,4.91,17,51,12,0,0,0
tashkent,samarkand,292.9,van,2025-11-21,23,friday,clouds,7.0,low,4.57,21,47,11,0,0,1
tashkent,samarkand,292.9,van,2025-12-27,11,saturday,clouds,7.0,low,4.68,27,52,12,1,0,0
tashkent,samarkand,292.9,truck,2025-12-24,7,wednesday,mist,7.0,medium,6.5,24,52,12,0,0,0
tashkent,samarkand,292.9,motorcycle,2026-01-05,10,monday,mist,4.7,low,4.34,5,2,1,0,1,0
tashkent,samarkand,292.9,motorcycle,2025-11-26,3,wednesday,mist,7.0,low,4.4,26,48,11,0,0,1
tashkent,samarkand,292.9,pickup,2025-12-09,16,tuesday,clouds,4.7,low,4.24,9,50,12,0,0,0
tashkent,samarkand,292.9,van,2025-12-20,12,saturday,clouds,7.0,low,4.58,20,51,12,1,0,0
tashkent,samarkand,292.9,car,2025-12-11,6,thursday,mist,7.0,low,3.54,11,50,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-07,4,sunday,clouds,7.0,low,4.22,7,49,12,1,0,1
tashkent,samarkand,292.9,car,2025-12-08,4,monday,mist,4.7,low,3.62,8,50,12,0,0,1
tashkent,samarkand,292.9,van,2026-01-01,1,thursday,mist,4.7,low,4.1,1,1,1,0,0,1
tashkent,samarkand,292.9,pickup,2025-11-27,20,thursday,clouds,4.7,low,4.3,27,48,11,0,0,0
tashkent,samarkand,292.9,pickup,2025-11-22,21,saturday,clouds,7.0,low,4.47,22,47,11,1,0,0
tashkent,samarkand,292.9,van,2026-01-03,21,saturday,mist,4.7,low,4.26,3,1,1,1,0,0
tashkent,samarkand,292.9,truck,2025-12-04,4,thursday,mist,7.0,low,4.84,4,49,12,0,0,1
tashkent,samarkand,292.9,car,2025-12-24,6,wednesday,mist,4.7,low,3.68,24,52,12,0,0,0
tashkent,samarkand,292.9,truck,2025-12-02,6,tuesday,mist,7.0,low,5.02,2,49,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-29,21,monday,mist,7.0,low,4.09,29,1,12,0,0,0
tashkent,samarkand,292.9,pickup,2025-12-24,14,wednesday,mist,7.0,low,4.01,24,52,12,0,0,0
tashkent,samarkand,292.9,truck,2025-12-21,7,sunday,mist,7.0,medium,6.15,21,51,12,1,0,0
tashkent,samarkand,292.9,pickup,2025-12-04,23,thursday,mist,4.7,low,4.1,4,49,12,0,0,1
tashkent,samarkand,292.9,motorcycle,2025-11-25,18,tuesday,mist,7.0,medium,5.73,25,48,11,0,1,0
tashkent,samarkand,292.9,pickup,2026-01-05,9,monday,mist,7.0,medium,5.04,5,2,1,0,1,0
tashkent,samarkand,292.9,pickup,2025-12-26,5,friday,mist,7.0,low,3.97,26,52,12,0,0,1
tashkent,samarkand,292.9,car,2025-12-18,7,thursday,mist,4.7,medium,4.55,18,51,12,0,0,0
